approach,attack_type,trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_std,final_nsw_ratio_ci95,final_nsw_legit_mean,final_nsw_legit_std,final_nsw_legit_ci95,final_min_util_mean,final_min_util_std,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_std,final_fairness_gap_ci95,final_detection_rate_mean,final_detection_rate_std,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_std,final_fp_rate_ci95,final_fn_rate_mean,final_fn_rate_std,final_fn_rate_ci95,final_algorithm1_detection_rate_mean,final_algorithm1_detection_rate_std,final_algorithm1_detection_rate_ci95,final_algorithm1_fp_rate_mean,final_algorithm1_fp_rate_std,final_algorithm1_fp_rate_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_std,avg_malicious_resource_share_ci95,final_malicious_resource_share_mean,final_malicious_resource_share_std,final_malicious_resource_share_ci95,avg_malicious_trusted_count_mean,avg_malicious_trusted_count_std,avg_malicious_trusted_count_ci95,final_malicious_trusted_count_mean,final_malicious_trusted_count_std,final_malicious_trusted_count_ci95,avg_alpha_t_mean,avg_alpha_t_std,avg_alpha_t_ci95,avg_expert_defensive_weight_mean,avg_expert_defensive_weight_std,avg_expert_defensive_weight_ci95,avg_expert_aggressive_weight_mean,avg_expert_aggressive_weight_std,avg_expert_aggressive_weight_ci95,avg_expert_gm_weight_mean,avg_expert_gm_weight_std,avg_expert_gm_weight_ci95
pure_greedy_alpha0,byzantine,algorithm1,25,0.9648192114794029,0.005062444805606916,0.001984478363797911,7.55513858898166,0.119638391517791,0.04689824947497408,6.668716434340634,0.24575918547956815,0.09633760070799072,1.8397551571956803,0.40758036856751007,0.15977150447846394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01031021799653128,0.00467672243949776,0.0018332751962831218,0.0,0.0,0.0,0.049100000000000005,0.026794402400501485,0.01050340574099658,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,byzantine,no_trust,25,0.4800230505297472,0.016192805656730383,0.0063475798174383105,3.758910709974416,0.13858808395480796,0.05432652891028472,3.139223572799922,0.20885106483351198,0.0818696174147367,1.4278611904139324,0.34272057617807783,0.13434646586180649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5836528954752311,0.013864549355465525,0.005434903347342486,0.72,0.44899888641287294,0.1760075634738462,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,byzantine,oracle,25,0.9734621821119671,0.0038252482718393074,0.0014994973225610085,7.623044793798317,0.13160384850820764,0.051588708615217395,6.730544109729707,0.24985914442167706,0.0979447846132974,1.8505115461911672,0.4106795613519248,0.16098638804995452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,byzantine,sparse_online,25,0.9719889289365845,0.004137124950744556,0.0016217529806918658,7.611494330799791,0.13119706457189437,0.05142924931218259,6.719842243004202,0.25110262064409233,0.0984322272924842,1.8483459773939757,0.41034139058777985,0.16085382511040971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012836577063732944,0.0008597037241967578,0.00033700385988512903,0.0,0.0,0.0,0.0087,0.00678675180038286,0.0026604067057500813,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,compound,algorithm1,25,0.8272445461370854,0.043507490968205415,0.01705493645953652,6.474794572189873,0.2925681173663825,0.11468670200762195,5.648088280649919,0.36070615875364154,0.14139681423142747,1.7189240293895631,0.4279881287289818,0.16777134646176087,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.28,0.1777638883463118,0.06968344423175422,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.18071937184122366,0.05581335284023033,0.02187883431337029,0.10405371628555102,0.2892012375592653,0.11336688512323198,1.4734,0.6812656897275835,0.26705615037321273,1.12,0.7110555533852472,0.2787337769270169,,,,,,,,,,,,
pure_greedy_alpha0,compound,no_trust,25,0.578948103766821,0.056807443252387416,0.022268517754935865,4.53700722511972,0.48365971512521855,0.18959460832908565,3.8709676343828017,0.42119409638375516,0.16510808578243202,1.4602365649251468,0.364386333169379,0.1428394426023966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.4681240430713613,0.060283433284397815,0.023631105847483944,0.4910188322813056,0.49186977236479135,0.1928129507669982,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,compound,oracle,25,0.9696658166694095,0.004711862082125318,0.0018470499361931242,7.593219685496252,0.127321356626208,0.049909971797473536,6.688140113930608,0.26405915091774224,0.10351118715975496,1.8145362438186832,0.3764400422861019,0.14756449657615195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,compound,sparse_online,25,0.9675903924718025,0.005024989999947592,0.001969796079979456,7.57691627841256,0.12469625956671683,0.048880933750153,6.6730893064621855,0.262254950729594,0.10280394068600085,1.8128611633861609,0.3760400192007724,0.14740768752670277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.0019710392415974603,0.0014001353430831561,0.0005488530544885972,0.0,0.0,0.0,0.010700000000000001,0.00712460525222275,0.002792845258871318,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,reputation_poison,algorithm1,25,0.758810739013039,0.011435915596559305,0.004482878913851247,5.941972915871325,0.12586923712506531,0.049340740953025604,5.1057647345408705,0.2658662155085393,0.1042195564793474,1.7045803327439801,0.3729257736457066,0.14618690326911699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2987785503177333,0.011719485695207461,0.004594038392521324,0.43087513710632186,0.4746273039079594,0.18605390313192008,3.9929,0.004282522621072791,0.001678748867460534,4.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,reputation_poison,no_trust,25,0.7590938637461454,0.011395932213000694,0.004467205427496272,5.9441965483446815,0.1259883505013085,0.04938743339651293,5.107795963487047,0.26500656334475897,0.10388257283114552,1.704769230228823,0.3730086155395809,0.14621937729151574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29882343806094364,0.011667872003446026,0.004573805825350842,0.4309496668550572,0.47469177255116307,0.18607917484005593,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
