approach,attack_type,trust_mode,trial,seed,n_rounds,final_nsw_ratio,final_nsw_legit,offline_nsw,final_min_util,final_fairness_gap,final_detection_rate,final_fp_rate,final_fn_rate,final_algorithm1_detection_rate,final_algorithm1_fp_rate,avg_malicious_resource_share,final_malicious_resource_share,avg_malicious_trusted_count,final_malicious_trusted_count,avg_alpha_t,avg_expert_defensive_weight,avg_expert_aggressive_weight,avg_expert_gm_weight
adaptive_alpha,trust_mimicry,no_trust,10,172,400,0.5939538521591754,4.625931790264598,7.7883690348133,3.762863172638934,1.60142008137279,0.0,0.0,1.0,0.0,0.0,0.3105102056219223,0.7706623611790857,4.0,4.0,0.3294946041154709,,,
adaptive_alpha,trust_mimicry,no_trust,11,185,400,0.6178557427146449,4.871257249248476,7.8841336455753455,4.3261555910625615,1.1843170202155822,0.0,0.0,1.0,0.0,0.0,0.2822183242548335,0.7653407424719861,4.0,4.0,0.3351317484621416,,,
adaptive_alpha,trust_mimicry,no_trust,12,198,400,0.6049613552825699,4.821298122316717,7.969596867992914,4.104985196300606,1.2915403838328015,0.0,0.0,1.0,0.0,0.0,0.2937655980527412,0.09080164248570463,4.0,4.0,0.33420968787463573,,,
adaptive_alpha,trust_mimicry,no_trust,13,211,400,0.6028050497978127,4.59005409011184,7.614491769190376,3.7294557056086517,1.750148278453009,0.0,0.0,1.0,0.0,0.0,0.3016307901768596,0.7926727791194689,4.0,4.0,0.32389017677941767,,,
adaptive_alpha,trust_mimicry,no_trust,14,224,400,0.6189945525922169,4.733501447071453,7.647080943198224,4.444260581771928,0.9273629922582929,0.0,0.0,1.0,0.0,0.0,0.2899183237629163,0.7672470567687101,4.0,4.0,0.33314137828041235,,,
adaptive_alpha,trust_mimicry,no_trust,15,237,400,0.6008833370707558,4.549328883699869,7.571068463767654,3.8668116216427815,1.4167844530283378,0.0,0.0,1.0,0.0,0.0,0.2947406820302888,0.09827031053075823,4.0,4.0,0.3401788138784319,,,
adaptive_alpha,trust_mimicry,no_trust,16,250,400,0.6087355346389127,4.773830256693491,7.842207305221983,4.335155396917835,0.8987073206904546,0.0,0.0,1.0,0.0,0.0,0.29218304693294855,0.08909422909305591,4.0,4.0,0.32392700329997703,,,
adaptive_alpha,trust_mimicry,no_trust,17,263,400,0.607026190669548,4.881789060635625,8.042139096586634,4.475658019123488,1.088200151573596,0.0,0.0,1.0,0.0,0.0,0.2995135657445646,0.7752056424463691,4.0,4.0,0.3234955870620808,,,
adaptive_alpha,trust_mimicry,no_trust,18,276,400,0.6170491803607994,4.890805313247253,7.92611913103509,4.267204729330452,1.1969179404283237,0.0,0.0,1.0,0.0,0.0,0.28523271666316313,0.08505229905646466,4.0,4.0,0.327910251336852,,,
adaptive_alpha,trust_mimicry,no_trust,19,289,400,0.5937309916978958,4.716114862304897,7.943184587380553,3.981770950214312,1.4976009150726406,0.0,0.0,1.0,0.0,0.0,0.29965748052542596,0.09382567447649166,4.0,4.0,0.34633139668830815,,,
adaptive_alpha,trust_mimicry,no_trust,20,302,400,0.5940860652830935,4.56346089502737,7.681481121515268,4.033890863148023,1.0111178695342717,0.0,0.0,1.0,0.0,0.0,0.2962415117608078,0.7541739955360164,4.0,4.0,0.3439487367863927,,,
adaptive_alpha,trust_mimicry,no_trust,21,315,400,0.6230848601553028,4.787398575726964,7.6833813206979755,4.188256859408811,1.3465307755706233,0.0,0.0,1.0,0.0,0.0,0.28170260823508875,0.7677559907004838,4.0,4.0,0.3229957857480849,,,
adaptive_alpha,trust_mimicry,no_trust,22,328,400,0.6016385857717562,4.827215364029265,8.02344709629473,4.243348601319565,1.050329491174403,0.0,0.0,1.0,0.0,0.0,0.29496856483467615,0.7792640192173043,4.0,4.0,0.34910631017538557,,,
adaptive_alpha,trust_mimicry,no_trust,23,341,400,0.6136586546196925,4.791272874006734,7.807716615642074,4.2529090540371755,0.920881179694562,0.0,0.0,1.0,0.0,0.0,0.2949961542166271,0.08634037928195232,4.0,4.0,0.3174169359427077,,,
adaptive_alpha,trust_mimicry,no_trust,24,354,400,0.6100097659828234,4.764806694141644,7.811033461841021,3.7318430666262956,1.7380303790723377,0.0,0.0,1.0,0.0,0.0,0.28606020586850023,0.09279912436947937,4.0,4.0,0.32914971660315145,,,
adaptive_alpha,trust_mimicry,oracle,0,42,400,0.7913674236817788,6.321808088440283,7.988461363532675,5.605716855405952,1.5951941617601477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31901878747154144,,,
adaptive_alpha,trust_mimicry,oracle,1,55,400,0.7850404428618261,6.289362079985092,8.011513466819027,5.707460336436263,1.0602486817887886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275697648208815,,,
adaptive_alpha,trust_mimicry,oracle,2,68,400,0.7870119176074697,6.111530908705566,7.76548711903211,5.509353992073035,1.6480275436226481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3279750501986446,,,
adaptive_alpha,trust_mimicry,oracle,3,81,400,0.7778210450651036,6.018399764814555,7.737512121841362,5.598621890050763,1.0977871839353304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3426871232819292,,,
adaptive_alpha,trust_mimicry,oracle,4,94,400,0.7824589083934697,6.15111417843326,7.8612616106098345,5.657968494997522,1.291590293640958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33352671559538094,,,
adaptive_alpha,trust_mimicry,oracle,5,107,400,0.7884730332109257,6.1409088085302965,7.788356164220942,5.397410862289795,1.5064588845961975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32481526987839826,,,
adaptive_alpha,trust_mimicry,oracle,6,120,400,0.7893418139168082,6.127548765656539,7.762858444367607,5.587960314841987,1.1085044281081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3260376529252845,,,
adaptive_alpha,trust_mimicry,oracle,7,133,400,0.7879279154849109,6.20945663775248,7.880742026928976,5.495751255947914,1.6262620120901916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323618386439378,,,
adaptive_alpha,trust_mimicry,oracle,8,146,400,0.7841524377829298,6.155562035579339,7.849955874629737,5.651072335568085,1.2761196159720862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33056268424691565,,,
adaptive_alpha,trust_mimicry,oracle,9,159,400,0.7815898736741529,6.165162253406734,7.887976112619147,5.436665917182187,2.1846624770303764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33118499991633044,,,
adaptive_alpha,trust_mimicry,oracle,10,172,400,0.7876067138185738,6.134171741515641,7.7883690348133,5.195757402418449,1.7095408909001888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33036474879324407,,,
adaptive_alpha,trust_mimicry,oracle,11,185,400,0.783024917838056,6.173473100050887,7.8841336455753455,5.415958812690143,1.5431723913834707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334847655885772,,,
adaptive_alpha,trust_mimicry,oracle,12,198,400,0.7786240492522591,6.205319784264765,7.969596867992914,5.503972742703365,1.466105652231251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329655840132913,,,
